hour,avg_temp_F,temp_F,month,dom,year,doy
10,51.91760084828396,50.54720000000004,3,15,2016,75
11,54.474579374028025,51.48338000000003,3,15,2016,75
12,56.83308511115448,55.33520000000004,3,15,2016,75
13,58.272638755887,56.79320000000005,3,15,2016,75
14,59.74750207345975,58.251200000000054,3,15,2016,75
15,60.299873328718384,59.06480000000003,3,15,2016,75
16,60.288751772979424,58.625600000000034,3,15,2016,75
17,60.27012598527073,58.83800000000004,3,15,2016,75
18,59.2518929464286,58.21520000000004,3,15,2016,75
19,57.89326597444092,56.26040000000006,3,15,2016,75
20,55.96643418590767,54.25052000000003,3,15,2016,75
21,54.306712109375034,52.46600000000003,3,15,2016,75
22,53.04611058386841,50.69480000000004,3,15,2016,75
23,51.525696246006426,48.923600000000036,3,15,2016,75
0,50.36648750000003,47.29298000000004,3,16,2016,76
1,49.59523823000003,45.35240000000003,3,16,2016,76
2,48.77655115778691,45.33638000000002,3,16,2016,76
3,48.0271915580569,45.01040000000002,3,16,2016,76
4,47.60468460850559,44.60000000000002,3,16,2016,76
5,46.8803347834646,44.423600000000036,3,16,2016,76
6,46.68511980325917,44.41280000000005,3,16,2016,76
7,47.14141536869088,45.38120000000005,3,16,2016,76
8,47.325581563971774,47.037200000000055,3,16,2016,76
9,49.10887282608699,50.83520000000004,3,16,2016,76
10,51.91760084828396,53.79620000000004,3,16,2016,76
11,54.474579374028025,56.75720000000003,3,16,2016,76
12,56.83308511115448,57.074000000000034,3,16,2016,76
13,58.272638755887,58.88840000000005,3,16,2016,76
14,59.74750207345975,59.60840000000004,3,16,2016,76
15,60.299873328718384,58.710920000000044,3,16,2016,76
16,60.288751772979424,59.12600000000001,3,16,2016,76
17,60.27012598527073,59.19440000000005,3,16,2016,76
18,59.2518929464286,55.94000000000002,3,16,2016,76
19,57.89326597444092,55.83920000000003,3,16,2016,76
20,55.96643418590767,53.78360000000002,3,16,2016,76
21,54.306712109375034,52.066400000000044,3,16,2016,76
22,53.04611058386841,50.892800000000044,3,16,2016,76
23,51.525696246006426,49.719200000000036,3,16,2016,76
0,50.36648750000003,47.11154000000001,3,17,2016,77
1,49.59523823000003,47.519600000000004,3,17,2016,77
2,48.77655115778691,45.39074000000001,3,17,2016,77
3,48.0271915580569,46.27760000000003,3,17,2016,77
4,47.60468460850559,45.21200000000002,3,17,2016,77
5,46.8803347834646,44.87360000000003,3,17,2016,77
6,46.68511980325917,44.39480000000002,3,17,2016,77
7,47.14141536869088,43.62800000000003,3,17,2016,77
8,47.325581563971774,45.38840000000004,3,17,2016,77
9,49.10887282608699,46.23080000000003,3,17,2016,77
10,51.91760084828396,50.795600000000036,3,17,2016,77
11,54.474579374028025,51.80360000000002,3,17,2016,77
12,56.83308511115448,54.85280000000002,3,17,2016,77
13,58.272638755887,56.85800000000005,3,17,2016,77
14,59.74750207345975,57.005600000000015,3,17,2016,77
15,60.299873328718384,57.59960000000005,3,17,2016,77
16,60.288751772979424,57.46100000000005,3,17,2016,77
17,60.27012598527073,57.32240000000006,3,17,2016,77
18,59.2518929464286,57.01280000000005,3,17,2016,77
19,57.89326597444092,56.27480000000003,3,17,2016,77
20,55.96643418590767,53.60360000000004,3,17,2016,77
21,54.306712109375034,52.68200000000004,3,17,2016,77
22,53.04611058386841,51.357200000000034,3,17,2016,77
23,51.525696246006426,50.03240000000005,3,17,2016,77
0,50.36648750000003,48.69680000000004,3,18,2016,78
1,49.59523823000003,48.66080000000003,3,18,2016,78
2,48.77655115778691,46.45760000000003,3,18,2016,78
3,48.0271915580569,46.77080000000001,3,18,2016,78
4,47.60468460850559,45.34880000000002,3,18,2016,78
5,46.8803347834646,45.060800000000036,3,18,2016,78
6,46.68511980325917,44.80160000000002,3,18,2016,78
7,47.14141536869088,44.93120000000003,3,18,2016,78
8,47.325581563971774,45.03200000000004,3,18,2016,78
9,49.10887282608699,48.88400000000006,3,18,2016,78
10,51.91760084828396,50.522000000000034,3,18,2016,78
11,54.474579374028025,55.23440000000003,3,18,2016,78
12,56.83308511115448,56.42240000000005,3,18,2016,78
13,58.272638755887,58.632800000000046,3,18,2016,78
14,59.74750207345975,59.52920000000004,3,18,2016,78
15,60.299873328718384,58.372340000000044,3,18,2016,78
16,60.288751772979424,58.96760000000002,3,18,2016,78
17,60.27012598527073,59.04320000000005,3,18,2016,78
18,59.2518929464286,57.686000000000035,3,18,2016,78
19,57.89326597444092,56.152400000000036,3,18,2016,78
20,55.96643418590767,55.01480000000005,3,18,2016,78
21,54.306712109375034,53.699000000000055,3,18,2016,78
22,53.04611058386841,53.85920000000006,3,18,2016,78
23,51.525696246006426,52.45520000000001,3,18,2016,78
